#{"t_start": 1630861238.2598996, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.006993,1,1.636581
0.006993,1,1.64052
0.006993,1,1.6437
0.006993,1,1.646728
0.006993,1,1.649899
0.006993,1,1.651912
0.006993,1,1.653568
